case_id,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_follow_up,Q9,Q10,Q10_follow_up,Q11,Q12,Q13,Q14,Q15,Q16,Q17,match,Q4a,Q4b,Q9a,Q10a,Q14a,Q15a,Q8a,Q8_followup,Q10_followup,Q10_follow-up,Q15_follow-up
Case26,BRCA1 and BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,"Submit prior authorization request including medical notes documenting personal and family history, ethnicity, and how test results will impact clinical management.",False,Yes,NCCN,Yes,Risk Assessment,81162,,,,,,
Case24,BRCA1 and BRCA2 genetic testing,Yes,Yes,Yes,Yes,Not required,No,Yes,No,,Yes,No,,Yes,No,Yes,Yes,No,Yes,"Submit a prior authorization request including the patient's clinical information, family history, and the specific CPT code 81211 for BRCA1 and BRCA2 genetic testing.",False,Yes,NCCN,Yes,Diagnostic; Risk Assessment,81211,,,,,,
Case8,Whole Exome Sequencing (WES),Not specified,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,No,,Yes,Yes,Not specified,Not listed,No,No,"Submit documentation of medical necessity, including clinical evaluation, family history, and prior genetic testing results, along with the claim.",False,Yes,ACMG,No,Diagnostic,,,Chromosomal Microarray Analysis (CMA),,,,
Case41,Limb-Girdle Muscular Dystrophy Panel,Not specified,Yes,Yes,No,Not specified,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,Submit prior authorization through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,,,,
Case40,Multi-gene panel testing for inherited cardiomyopathy,Not specified,Yes,Yes,Not specified,Not specified,No,Yes,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Not specified,Not specified,False,,,,,,,,,,,
Case50,Neuromuscular gene panel testing,Not specified,No,No,Not specified,Not specified,No,No,Not specified,,Not specified,Yes,,Not specified,Not specified,Yes,Not listed,No,No,Submit prior authorization through the UnitedHealthcare Provider Portal or by calling 877-303-7736.,False,,,,,,,,,,,
Case35,BRCA1/2 and PALB2 genetic testing,Not specified,Not specified,Yes,No,Not specified,No,Yes,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation demonstrating medical necessity, including clinical notes and any required prior authorization forms.",False,,,,,,,,,,,
Case48,Neuromuscular gene panel testing,Not specified,No,No,Yes,No,No,No,Yes,,Yes,Yes,,Yes,No,Not specified,Not listed,No,No,"Submit documentation of medical necessity, including clinical evaluation and family history, and obtain prior authorization if required.",False,No,,No,,,,Single gene testing for specific neuromuscular disorders,,,,
Case45,DMD gene testing,Not specified,Yes,Yes,No,Not required,No,Yes,No,,Not specified,No,,Not specified,Not specified,Not specified,Not listed,No,Yes,"Submit the claim with appropriate documentation of medical necessity, including clinical notes and test results, as per Aetna's standard procedures.",False,,,,,,,,,,,
Case18,Whole Genome Sequencing (WGS),Not specified,No,No,Yes,No,No,No,Yes,,Yes,No,,Not specified,No,Not specified,Not listed,No,No,"Submit a claim with appropriate documentation, including medical necessity justification and prior authorization if required.",False,No,,No,Diagnostic,,,Chromosomal microarray (CMA),,,,
Case16,Whole Genome Sequencing (WGS),Not specified,Yes,Yes,No,Yes,No,Yes,No,,Not specified,No,,Not specified,Not specified,Yes,Not listed,No,Yes,"Submit a prior authorization request including documentation of medical necessity, clinical notes, and any relevant test results.",False,,,,,,,,,,,
